,Table 1,,,,,,
Key,English,French,Lux,Slovenian,Italian,German,Greek
multilingual-ressources,Multilingual Resources,Ressources Multilingues,Multilingual Ressourcen,Večjezična gradiva,,Mehrsprachige Materialien,Πολυγλωσσικές πηγές
storytime,Storytime,Heure des Histoires,Storytime ,Zgodbe / Storytime,,Geschichte,Η ιστορία μας
activities,Activities,Activités,Aktivitéiten,Dejavnosti,,Aktivitäten,Δραστηριότητες
peadagogical-guide,Pedagogical Guide,Pedagogical Guide,Pedagogical Guide,Pedagogical Guide,Pedagogical Guide,Pedagogical Guide,Pedagogical Guide
multilingual-ressources,Multilingual Resources,Ressources Multilingues,Multilingual Ressourcen,Večjezična gradiva,,Mehrsprachige Materialien,Πολυγλωσσικές πηγές
about-agentive,About AGENTIVE,À propos d’AGENTIVE,À propos AGENTIVE,O projektu (AGENTIVE),,Über Agentive,Σχετικά με το AGENTIVE
team,The Team,L’Équipe,Eist Team,Projektna skupina,,Team,Η ομάδα
blog,Blog,Blog,Blog,Blog,,Blog,Το blog
dashboard,Dashboard,Espace d’Apprentissage,Dashboard,Nadzorna plošča,,Dashboard,Ταμπλό
overview,Overview,Aperçu,Iwwerbléck,Pregled,,Übersicht,Επισκόπηση
multilingual-ressources,Multilingual Stories,Histoires Multilingues,Multilingual Geschichten,Večjezične zgodbe,,Mehrsprachige Geschichten,Πολυγλωσσικές ιστορίες
listen-n-watch,Listen and Watch,Écouter et Regarder,Lauschteren a Kucken,Poslušaj in glej,,Hören & Anschauen,Άκουσε και Δες
read,Read,Lire,Liesen,Preberi,,Lesen,Διάβασε
available,Available in,Disponible en,Verfügbar op,Na voljo v ,,Verfügbar in,Διαθέσιμο σε
stories,Stories,Histoires,Geschichten,Zgodbe,,Geschichten,Ιστορίες
select-lang,Select a Language,Choisissez une langue,Sprooch auswielen,Izberi jezik,,Wähle eine Sprache,Επιλέξτε μια γλώσσα
select-lang-long,Please choose a language to view this story,/,/,Izberi jezik zgodbe,,"Wähle eine Sprache aus, um diese Geschichte zu lesen",Παρακαλώ επιλέξτε μια γλώσσα για να δείτε την ιστορία
download,Download,Télécharger,Download,Prenesi,,Herunterladen,Λήψη
